gender,race,age,ses,gap_years,negotiation,zip,university_quality,skills,experience_years,education_level,screening_score,u_confounder,shortlisted
Male,Minority,44,0.11892770700949355,0.8619701322147713,-1.0145156638828605,0.317,0.6449422617114466,0.508207637566937,21.138029867785228,Masters,1.6103441211356864,0.0012301533574825742,1
Female,Majority,43,0.5323677353330737,1.137531029841024,-0.9271822706646313,-0.571,-0.1627549925022013,0.1469259608926483,19.862468970158975,Bachelors,0.6406078029514232,0.2987455375084699,1
Male,Majority,33,-1.8787352486764006,0.0,0.019793531961439237,-0.355,-2.16360712656455,-0.6247998899190538,11.0,HighSchool,0.17542516258949553,-0.2741378553622176,1
Male,Minority,47,1.340155208135325,0.6326854473188465,0.030234182338198985,0.271,1.088271788671081,1.3035445337669933,24.367314552681155,PhD,1.9224262358799193,-0.8905918387572742,1
Male,Minority,26,0.3042067509967498,0.0,0.2188233699913444,0.944,-0.2042989536936762,0.14383987812170249,4.0,Masters,-0.40301798574771125,-0.45467078517172255,0
Male,Majority,51,-2.1440566191013124,0.0,0.38212203006989637,-0.273,-1.556540631397157,0.10364756952431166,29.0,HighSchool,0.8029770413321762,-0.9916465549964624,1
Female,Majority,33,1.9867443006621524,0.728278991293476,-0.21690081548732065,-0.073,0.8753609659230269,0.8055114088171599,10.271721008706525,PhD,-0.3623495980316339,0.060143602597438485,0
Female,Majority,40,-0.6314702452928508,0.7085951969659829,0.19954323430616316,-0.042,-0.8524289976540704,-1.137084788794979,17.291404803034016,HighSchool,-0.7221658816398837,1.3402152455545335,0
Female,Minority,44,-0.1968509135009319,0.42757494936903495,-1.349698283684719,0.696,-1.0843959062024422,-1.7902363885641372,21.572425050630965,HighSchool,-1.1339096679289948,-0.49220651855132963,0
Female,Minority,46,-0.2384857114724941,0.48524011826334024,-1.3032257093072905,0.712,-0.8752416866037404,-0.6144581869343161,23.51475988173666,HighSchool,-0.3641517046064947,-0.6204748998199404,1
Male,Minority,29,0.7168093117587043,1.2991969567551964,1.4489887159858184,0.902,0.07140274348460729,-0.5594893370409673,5.700803043244804,Bachelors,-0.5257593846542091,0.4898420501851982,0
Female,Minority,53,-0.08642246834288238,0.6694595601169747,1.0464785373070076,1.201,-1.2358743400700498,-0.2885996959789517,30.330540439883027,HighSchool,-0.010977437752574423,0.35688700816006075,0
Male,Minority,54,-0.10691952756254479,0.48470009165339256,-0.06259721737476337,0.73,-0.43722562086219957,-1.037344666738996,31.515299908346606,Bachelors,0.7268075948281708,0.10541424899789856,0
Female,Minority,48,-0.3441910194487767,0.3082468328028144,-0.07782413715776204,1.405,0.041266903296603215,-0.8502424950855836,25.691753167197184,Bachelors,-0.6371840119573435,-0.9304680447082047,0
Female,Minority,33,0.697126786084963,0.8156592782707561,-0.14356997278203087,1.071,-0.02886813751782805,-0.32383491146936116,10.184340721729244,Masters,-1.8022958898421704,-0.02925182246327349,0
Male,Minority,37,-1.3163585302323058,0.0,-0.566964006688837,1.056,-3.1180789211158992,-1.9952322839488348,15.0,HighSchool,-1.4852403534937775,0.6953031944582878,0
Male,Minority,46,-1.5647041105708435,0.0,0.760662239018375,0.599,-2.217674549380183,-2.3272087740313254,24.0,HighSchool,-1.0914224892322193,-1.344214547285082,0
Female,Majority,40,0.6770186126149556,0.7989197696821781,-0.07744242375614424,0.243,-0.6340317484897525,0.23813931726758472,17.20108023031782,Bachelors,1.2295667403223287,-0.45761576104021817,0
Male,Minority,49,-0.4802678484280244,0.0,-1.559546027535976,-0.129,1.0638088300408557,0.23795298675473037,27.0,Bachelors,0.3343958491220901,-1.901222739800844,1
Female,Majority,31,-0.3111938358936272,0.25934758116190615,-0.1306802476790675,-0.298,-0.7213246624247015,-0.2595284291543182,8.740652418838094,Bachelors,-0.3660982467012652,-1.289537739784976,1
Female,Minority,26,0.21283050543211274,0.4360307950683443,-0.11308569850647726,1.441,0.21113735463037844,0.14475527776960992,3.563969204931656,Masters,-0.5004309754203331,-1.8417350377917323,0
Male,Majority,38,-1.2299640437231831,0.21882221653200412,-0.8052208689238287,-0.177,-0.7734036464348394,-0.5432675734232193,15.781177783467996,HighSchool,-0.5632835553018605,-0.23509113107468127,0
