AUC,SPD,CFVR,dataset,variant,note
0.7899268547946471,0.07058692496178576,0.0,synthetic,Full CEFHF,
0.8697699831469755,0.11606125547609719,0.1,synthetic,drop L1,
0.8697699831469755,0.11606125547609719,0.0584,synthetic,drop L2/SCM,
0.8680699310744637,0.06811483993537498,0.2932,synthetic,drop L4,
0.8697699831469755,0.11606125547609719,0.1,synthetic,drop L5,"L5 affects explanations, not model metrics; see layer5 outputs"
0.9232315789473684,0.21058518038764154,0.0152,adult,Full CEFHF,
0.9268543859649123,0.20281315966225294,0.0168,adult,drop L1,
0.9268543859649123,0.20281315966225294,0.0536,adult,drop L2/SCM,
0.9299785087719299,0.1877668633659566,0.3012,adult,drop L4,
0.9268543859649123,0.20281315966225294,0.0168,adult,drop L5,"L5 affects explanations, not model metrics; see layer5 outputs"
