dataset,model,tau,CFVR-SCM
synthetic,LogisticRegression,0.05,0.6813333333333333
synthetic,LogisticRegression,0.1,0.382
synthetic,LogisticRegression,0.15,0.0
synthetic,LogisticRegression,0.2,0.0
synthetic,LogisticRegression,0.25,0.0
synthetic,RandomForest,0.05,0.5033333333333333
synthetic,RandomForest,0.1,0.24233333333333335
synthetic,RandomForest,0.15,0.11666666666666667
synthetic,RandomForest,0.2,0.04133333333333333
synthetic,RandomForest,0.25,0.013333333333333334
synthetic,XGBoost,0.05,0.524
synthetic,XGBoost,0.1,0.2946666666666667
synthetic,XGBoost,0.15,0.16066666666666668
synthetic,XGBoost,0.2,0.07366666666666667
synthetic,XGBoost,0.25,0.030333333333333334
synthetic,XGBoost+RW,0.05,0.5216666666666666
synthetic,XGBoost+RW,0.1,0.2926666666666667
synthetic,XGBoost+RW,0.15,0.14733333333333334
synthetic,XGBoost+RW,0.2,0.06533333333333333
synthetic,XGBoost+RW,0.25,0.025
adult,LogisticRegression,0.05,0.5556666666666666
adult,LogisticRegression,0.1,0.43366666666666664
adult,LogisticRegression,0.15,0.30866666666666664
adult,LogisticRegression,0.2,0.233
adult,LogisticRegression,0.25,0.17966666666666667
adult,RandomForest,0.05,0.6483333333333333
adult,RandomForest,0.1,0.4593333333333333
adult,RandomForest,0.15,0.333
adult,RandomForest,0.2,0.24533333333333332
adult,RandomForest,0.25,0.18733333333333332
adult,XGBoost,0.05,0.41233333333333333
adult,XGBoost,0.1,0.30366666666666664
adult,XGBoost,0.15,0.23433333333333334
adult,XGBoost,0.2,0.16833333333333333
adult,XGBoost,0.25,0.125
adult,XGBoost+RW,0.05,0.41733333333333333
adult,XGBoost+RW,0.1,0.29
adult,XGBoost+RW,0.15,0.195
adult,XGBoost+RW,0.2,0.145
adult,XGBoost+RW,0.25,0.114
recruitment,LogisticRegression,0.05,
recruitment,LogisticRegression,0.1,
recruitment,LogisticRegression,0.15,
recruitment,LogisticRegression,0.2,
recruitment,LogisticRegression,0.25,
recruitment,RandomForest,0.05,
recruitment,RandomForest,0.1,
recruitment,RandomForest,0.15,
recruitment,RandomForest,0.2,
recruitment,RandomForest,0.25,
recruitment,XGBoost,0.05,
recruitment,XGBoost,0.1,
recruitment,XGBoost,0.15,
recruitment,XGBoost,0.2,
recruitment,XGBoost,0.25,
recruitment,XGBoost+RW,0.05,
recruitment,XGBoost+RW,0.1,
recruitment,XGBoost+RW,0.15,
recruitment,XGBoost+RW,0.2,
recruitment,XGBoost+RW,0.25,
