dataset,model,ROC-AUC,F1,SPD,EOD,CFVR-flip,CFVR-SCM,DF-epsilon
synthetic,LogisticRegression,0.877,0.781,0.074,0.035,0.0,0.382,1.278
synthetic,RandomForest,0.866,0.773,0.092,0.066,0.0,0.242,1.471
synthetic,XGBoost,0.866,0.77,0.073,0.038,0.032,0.295,1.386
synthetic,XGBoost+RW,0.866,0.766,0.039,0.002,0.122,0.293,1.352
adult,LogisticRegression,0.909,0.682,0.18,0.071,0.393,0.434,3.817
adult,RandomForest,0.891,0.674,0.188,0.085,0.14,0.459,4.62
adult,XGBoost,0.929,0.723,0.182,0.067,0.043,0.304,4.573
adult,XGBoost+RW,0.924,0.702,0.103,0.16,0.011,0.29,4.444
recruitment,LogisticRegression,0.489,0.0,0.0,0.0,0.0,,0.0
recruitment,RandomForest,0.453,0.307,0.02,0.063,0.67,,0.791
recruitment,XGBoost,0.457,0.313,0.03,0.074,0.245,,0.734
recruitment,XGBoost+RW,0.466,0.34,0.0,0.107,0.302,,1.147
synthetic,CEFHF (CF-aug lam=1),0.868,,0.116,,,0.101,
adult,CEFHF (CF-aug lam=1),0.927,,0.198,,,0.017,
