dataset,model,Accuracy,F1,ROC-AUC,SPD,DIR,EOD,CFVR-flip,CFVR-flip-class,CFVR-SCM,CFVR-SCM-class,CFVR-SCM-direct,DF-epsilon,tau_sweep
synthetic,LogisticRegression,0.7903333333333333,0.7806069061737008,0.8767832301112732,0.0740558482795961,0.8562616803077131,0.034999453560444094,0.0,0.041,0.382,0.099,0.0,1.2777250216812805,"{0.05: 0.6813333333333333, 0.1: 0.382, 0.15: 0.0, 0.2: 0.0, 0.25: 0.0}"
synthetic,RandomForest,0.7846666666666666,0.7728551336146273,0.866210984465926,0.09184466822163817,0.822201224738478,0.06634933401176868,0.0003333333333333333,0.02266666666666667,0.24233333333333335,0.08633333333333333,0.16566666666666666,1.4708614246478144,"{0.05: 0.5033333333333333, 0.1: 0.24233333333333335, 0.15: 0.11666666666666667, 0.2: 0.04133333333333333, 0.25: 0.013333333333333334}"
synthetic,XGBoost,0.781,0.7695545422658716,0.8656674878119596,0.0725728909532935,0.8574564333068777,0.037705684905087467,0.03166666666666667,0.03766666666666667,0.2946666666666667,0.095,0.157,1.3855346888276725,"{0.05: 0.524, 0.1: 0.2946666666666667, 0.15: 0.16066666666666668, 0.2: 0.07366666666666667, 0.25: 0.030333333333333334}"
synthetic,XGBoost+RW,0.7776666666666666,0.7657182999648753,0.8663345570357546,0.03919568235374138,0.920150944626469,0.002337980671652251,0.122,0.06933333333333333,0.2926666666666667,0.087,0.15133333333333332,1.3518614737210848,"{0.05: 0.5216666666666666, 0.1: 0.2926666666666667, 0.15: 0.14733333333333334, 0.2: 0.06533333333333333, 0.25: 0.025}"
adult,LogisticRegression,0.857,0.6824574389341229,0.9093835873169731,0.18002346558381038,0.304088394235718,0.07116586375112798,0.39266666666666666,0.101,0.43366666666666664,0.14233333333333334,,3.8171820137834547,"{0.05: 0.5556666666666666, 0.1: 0.43366666666666664, 0.15: 0.30866666666666664, 0.2: 0.233, 0.25: 0.17966666666666667}"
adult,RandomForest,0.8473333333333334,0.6737891737891738,0.8910176216817594,0.18844028757821862,0.3244839517957284,0.08460875488861183,0.14,0.03266666666666666,0.4593333333333333,0.14833333333333334,,4.620393767376289,"{0.05: 0.6483333333333333, 0.1: 0.4593333333333333, 0.15: 0.333, 0.2: 0.24533333333333332, 0.25: 0.18733333333333332}"
adult,XGBoost,0.8743333333333333,0.7225901398086828,0.9293822622887418,0.18232425775529223,0.3042801803518131,0.06720685844909977,0.043333333333333335,0.025,0.30366666666666664,0.12866666666666668,,4.573047646779091,"{0.05: 0.41233333333333333, 0.1: 0.30366666666666664, 0.15: 0.23433333333333334, 0.2: 0.16833333333333333, 0.25: 0.125}"
adult,XGBoost+RW,0.87,0.7018348623853211,0.924012018364175,0.10310294900812142,0.5325398023089112,0.16037513549177618,0.011333333333333334,0.011666666666666667,0.29,0.10866666666666666,,4.4438359152990845,"{0.05: 0.41733333333333333, 0.1: 0.29, 0.15: 0.195, 0.2: 0.145, 0.25: 0.114}"
recruitment,LogisticRegression,0.56,0.0,0.4889914772727273,0.0,,0.0,0.0,0.0,,,,0.0,"{0.05: nan, 0.1: nan, 0.15: nan, 0.2: nan, 0.25: nan}"
recruitment,RandomForest,0.47,0.30718954248366015,0.45331523944805197,0.020000000000000018,0.9402985074626865,0.06289551853286843,0.67,0.385,,,,0.790911349325837,"{0.05: nan, 0.1: nan, 0.15: nan, 0.2: nan, 0.25: nan}"
recruitment,XGBoost,0.485,0.31333333333333335,0.45713271103896114,0.030000000000000027,0.9076923076923076,0.07422466714502113,0.245,0.135,,,,0.7337529354858884,"{0.05: nan, 0.1: nan, 0.15: nan, 0.2: nan, 0.25: nan}"
recruitment,XGBoost+RW,0.495,0.33986928104575165,0.4655793425324676,0.0,1.0,0.10693529639674546,0.3025,0.14,,,,1.1468143904859875,"{0.05: nan, 0.1: nan, 0.15: nan, 0.2: nan, 0.25: nan}"
