Accuracy,F1,ROC-AUC,SPD,DIR,EOD,CFVR-SCM,dataset,method,lambda
0.781,0.7695545422658716,0.8656674878119596,0.0725728909532935,0.8574564333068777,0.037705684905087467,0.2946666666666667,synthetic,CF-augmentation,0.0
0.7806666666666666,0.7692847124824684,0.8677083277670014,0.09058575480794234,0.8253242094381399,0.05708540898981526,0.20533333333333334,synthetic,CF-augmentation,0.1
0.78,0.7685834502103787,0.867890903455757,0.08925216009004433,0.8276710903744444,0.052231815272204996,0.15866666666666668,synthetic,CF-augmentation,0.25
0.7806666666666666,0.7676553672316384,0.8683615924875002,0.09840061985482484,0.8092601353010669,0.06377893950709485,0.12033333333333333,synthetic,CF-augmentation,0.5
0.7826666666666666,0.7699364855328158,0.8681046506035687,0.11575602151354997,0.7796613181228567,0.08201667421273673,0.10133333333333333,synthetic,CF-augmentation,1.0
0.7883333333333333,0.7755390597384235,0.8661537625732306,0.1350464691079452,0.7468520560067795,0.09715631642442696,0.11266666666666666,synthetic,CF-augmentation,2.0
0.786,0.7708779443254818,0.8663884391292653,0.1567987325515801,0.7071902456517841,0.12184260847442327,0.15,synthetic,CF-augmentation,5.0
0.7836666666666666,0.7726795096322242,0.783055996409048,0.02726801119686123,0.9440646483215565,0.019691339713665768,0.07233333333333333,synthetic,fairlearn-EG-DP,0.01
0.7823333333333333,0.7704745166959578,0.7815731255711057,0.08318563771832616,0.8376892372224216,0.04876363367774869,0.077,synthetic,fairlearn-EG-DP,0.05
0.7823333333333333,0.7704745166959578,0.7815731255711057,0.08318563771832616,0.8376892372224216,0.04876363367774869,0.077,synthetic,fairlearn-EG-DP,0.1
0.7823333333333333,0.7704745166959578,0.7815731255711057,0.08318563771832616,0.8376892372224216,0.04876363367774869,0.077,synthetic,fairlearn-EG-DP,0.2
0.8743333333333333,0.7225901398086828,0.9293822622887418,0.18232425775529223,0.3042801803518131,0.06720685844909977,0.30366666666666664,adult,CF-augmentation,0.0
0.873,0.7216946676406136,0.9285221876574217,0.18559030089202505,0.30336394302848574,0.07019932620937483,0.08833333333333333,adult,CF-augmentation,0.1
0.8743333333333333,0.7262164124909223,0.9280235114919341,0.1910115164425509,0.2945171799127175,0.07541103169652241,0.04,adult,CF-augmentation,0.25
0.875,0.7284576393917451,0.9280306738066987,0.18826138330448677,0.30591176831513067,0.07039263371772546,0.025333333333333333,adult,CF-augmentation,0.5
0.875,0.7300215982721382,0.9269969130423364,0.19836323392357874,0.2839571068124474,0.07700391933083525,0.017,adult,CF-augmentation,1.0
0.874,0.7256894049346879,0.9265265877061254,0.19929520037278656,0.2717113665389528,0.07823177341062248,0.013333333333333334,adult,CF-augmentation,2.0
0.8723333333333333,0.7181751287711553,0.9249010406843353,0.20104679802955666,0.24942528735632183,0.12950657429662105,0.043666666666666666,adult,CF-augmentation,5.0
0.8453333333333334,0.615257048092869,0.7294065544729851,0.021110704300359495,0.8690377864959734,0.29723361138602195,0.08233333333333333,adult,fairlearn-EG-DP,0.01
0.8586666666666667,0.656957928802589,0.754098634624062,0.082395819464785,0.5666900052511814,0.18452016274722338,0.07333333333333333,adult,fairlearn-EG-DP,0.05
0.8616666666666667,0.669848846459825,0.7628778419468126,0.12529540007988282,0.4045594748497311,0.07959847306659129,0.064,adult,fairlearn-EG-DP,0.1
0.8603333333333333,0.6677240285487708,0.7619921023542529,0.1241054786313407,0.41290741615493626,0.09125469312094514,0.06933333333333333,adult,fairlearn-EG-DP,0.2
