dataset,feature,rank_standard,rank_interventional,mean_abs_shap_standard
synthetic,num__screening_score,0,1,0.89427185
synthetic,num__skills,1,0,0.8340354
synthetic,num__experience_years,2,2,0.3381469
synthetic,num__negotiation,3,3,0.1320398
synthetic,num__ses,4,7,0.103378534
synthetic,num__gap_years,5,4,0.10100212
synthetic,num__zip,6,11,0.09511047
synthetic,cat__education_level_HighSchool,7,5,0.09123127
synthetic,num__university_quality,8,6,0.08812525
synthetic,cat__education_level_PhD,9,8,0.087769605
synthetic,num___gender_enc,10,9,0.07633502
synthetic,num__age,11,10,0.054850474
synthetic,cat__education_level_Masters,12,13,0.031018686
synthetic,cat__education_level_Bachelors,13,12,0.026003374
synthetic,cat__race_Majority,14,15,0.020805506
synthetic,cat__race_Minority,15,14,0.0
adult,cat__marital-status_Married-civ-spouse,0,0,1.0758806
adult,num__age,1,1,0.6465457
adult,num__capital-gain,2,3,0.5057029
adult,num__education-num,3,2,0.47701016
adult,num__hours-per-week,4,4,0.33335498
adult,num__capital-loss,5,5,0.1600438
adult,num___sex_enc,6,7,0.12544511
adult,cat__occupation_Exec-managerial,7,6,0.12261341
adult,cat__relationship_Own-child,8,8,0.10863305
adult,cat__marital-status_Never-married,9,9,0.09962674
adult,cat__occupation_Prof-specialty,10,10,0.097566046
adult,cat__occupation_Other-service,11,16,0.08273641
adult,cat__relationship_Wife,12,23,0.076419055
adult,cat__occupation_Farming-fishing,13,35,0.046816465
adult,cat__occupation_Machine-op-inspct,14,27,0.040103313
adult,cat__workclass_Self-emp-not-inc,15,12,0.0390074
adult,cat__race_White,16,17,0.036494534
adult,cat__relationship_Not-in-family,17,21,0.0352439
adult,cat__occupation_Handlers-cleaners,18,11,0.034951247
adult,cat__occupation_Sales,19,13,0.033799447
adult,cat__workclass_Federal-gov,20,14,0.025495714
adult,cat__workclass_Local-gov,21,28,0.02387961
adult,cat__occupation_Tech-support,22,51,0.020943895
adult,cat__workclass_State-gov,23,89,0.016967973
adult,cat__workclass_Private,24,38,0.016538195
adult,cat__relationship_Husband,25,26,0.0158876
adult,cat__occupation_Adm-clerical,26,22,0.015332252
adult,cat__relationship_Other-relative,27,78,0.01494755
adult,cat__workclass_Self-emp-inc,28,18,0.014367171
adult,cat__relationship_Unmarried,29,34,0.012804555
adult,cat__occupation_Transport-moving,30,20,0.01250415
adult,cat__occupation_Protective-serv,31,42,0.012340497
adult,cat__marital-status_Divorced,32,50,0.011393864
adult,cat__marital-status_Widowed,33,41,0.009791563
adult,cat__native-country_United-States,34,25,0.009669477
adult,cat__education_Some-college,35,32,0.009639495
adult,cat__native-country_Mexico,36,49,0.007288376
adult,cat__education_Bachelors,37,47,0.007079934
adult,cat__race_Asian-Pac-Islander,38,45,0.006401613
adult,cat__occupation_Priv-house-serv,39,86,0.006146704
adult,cat__occupation_Craft-repair,40,36,0.0061339764
adult,cat__race_Amer-Indian-Eskimo,41,44,0.005608093
