dataset,feature,PS
synthetic,experience_years,0.40520399808883667
synthetic,education_level,0.2964078485965729
synthetic,screening_score,0.5941504240036011
synthetic,negotiation,0.25472691655158997
synthetic,skills,0.6496984958648682
synthetic,gap_years,0.2862803041934967
synthetic,experience_years,0.850581705570221
synthetic,education_level,0.7814648747444153
synthetic,screening_score,0.5858621001243591
synthetic,negotiation,0.7466182112693787
synthetic,skills,0.6600201725959778
synthetic,gap_years,0.7269642949104309
synthetic,experience_years,0.7151045203208923
synthetic,education_level,0.5543606281280518
synthetic,screening_score,0.489947110414505
synthetic,negotiation,0.643089771270752
synthetic,skills,0.5870087742805481
synthetic,gap_years,0.5805895328521729
synthetic,experience_years,0.7215806841850281
synthetic,education_level,0.6612668633460999
synthetic,screening_score,0.5819404125213623
synthetic,negotiation,0.7052608132362366
synthetic,skills,0.4072954058647156
synthetic,gap_years,0.6485975384712219
synthetic,experience_years,0.17146475613117218
synthetic,education_level,0.10656016319990158
synthetic,screening_score,0.09653277695178986
synthetic,negotiation,0.0969499871134758
synthetic,skills,0.40230032801628113
synthetic,gap_years,0.10411085188388824
synthetic,experience_years,0.1371953785419464
synthetic,education_level,0.19383825361728668
synthetic,screening_score,0.23732368648052216
synthetic,negotiation,0.11869250237941742
synthetic,skills,0.5982620716094971
synthetic,gap_years,0.11496978998184204
synthetic,experience_years,0.8719342947006226
synthetic,education_level,0.8396801352500916
synthetic,screening_score,0.6319379806518555
synthetic,negotiation,0.8250154852867126
synthetic,skills,0.5012684464454651
synthetic,gap_years,0.8423518538475037
synthetic,experience_years,0.5667107105255127
synthetic,education_level,0.24013474583625793
synthetic,screening_score,0.5035462975502014
synthetic,negotiation,0.45768728852272034
synthetic,skills,0.6724570989608765
synthetic,gap_years,0.37383514642715454
synthetic,experience_years,0.4499250650405884
synthetic,education_level,0.3203010857105255
synthetic,screening_score,0.4174515902996063
synthetic,negotiation,0.3518104553222656
synthetic,skills,0.20411096513271332
synthetic,gap_years,0.38867178559303284
synthetic,experience_years,0.07424503564834595
synthetic,education_level,0.06643801927566528
synthetic,screening_score,0.057225361466407776
synthetic,negotiation,0.04828190058469772
synthetic,skills,0.10191000252962112
synthetic,gap_years,0.04869046434760094
synthetic,experience_years,0.4252746105194092
synthetic,education_level,0.3779405951499939
synthetic,screening_score,0.29883477091789246
synthetic,negotiation,0.3268193304538727
synthetic,skills,0.539344072341919
synthetic,gap_years,0.3470208942890167
synthetic,experience_years,0.6654341816902161
synthetic,education_level,0.5750600099563599
synthetic,screening_score,0.38951802253723145
synthetic,negotiation,0.6546826362609863
synthetic,skills,0.47492340207099915
synthetic,gap_years,0.6424258947372437
synthetic,experience_years,0.8782473206520081
synthetic,education_level,0.8244902491569519
synthetic,screening_score,0.8007343411445618
synthetic,negotiation,0.9124396443367004
synthetic,skills,0.3219800889492035
synthetic,gap_years,0.8167274594306946
synthetic,experience_years,0.4252806603908539
synthetic,education_level,0.20270739495754242
synthetic,screening_score,0.16088634729385376
synthetic,negotiation,0.2649010717868805
synthetic,skills,0.6485744118690491
synthetic,gap_years,0.21084661781787872
synthetic,experience_years,0.6705644726753235
synthetic,education_level,0.4833550751209259
synthetic,screening_score,0.24997183680534363
synthetic,negotiation,0.5497722625732422
synthetic,skills,0.25345224142074585
synthetic,gap_years,0.5277292728424072
