feature,auc_A=sex,inc_auc_A=sex,mi_A=sex,proxy_flag
age,0.556535982098463,-0.0013980022859676478,0.009253224930191317,False
workclass,0.5455592029986701,0.0019576928825196793,0.011893941426344146,False
education,0.5201186408978284,0.0013778601263204626,0.003451826974798511,False
education-num,0.5002790594973086,0.001798690258510538,0.003417857831681692,False
marital-status,0.5826570380373094,0.001486666415588589,0.1140703806352017,False
occupation,0.5366569382283546,0.003045318011680287,0.10432889032426629,False
relationship,0.8643564025869548,0.20661361276968337,0.2704250495281584,True
race,0.5378875733396248,0.00744097969168267,0.011598684092348988,False
capital-gain,0.5203778785497928,0.001713366961498708,0.009383709319290778,False
capital-loss,0.5097192988593624,0.0008395083383251345,0.005417751345138777,False
hours-per-week,0.6544372711148987,0.09485618547696284,0.04470002188645572,True
native-country,0.496920813735574,-0.00025624204635166237,0.004450670757979003,False
