feature,auc_A=gender,inc_auc_A=gender,mi_A=gender,auc_A=race,inc_auc_A=race,mi_A=race,proxy_flag
race,0.5048014758863516,-5.030836361663571e-05,0.003790429134931772,1.0,0.3387073893283953,0.609471642004779,True
age,0.5020869960460179,0.12696916626203902,0.0008358460811719315,0.49792566163231927,-0.0004775103751686327,0.0,False
ses,0.5024245085641574,-5.1657878578081906e-05,0.0,0.4922465486832743,0.040681953466514265,0.006687483875774225,False
gap_years,0.7858116024535318,0.13332247317271462,0.14016318138756523,0.4890223958336696,-0.00044853741018835436,0.0,True
negotiation,0.6900384987663009,0.0706731445271862,0.05823223367573216,0.505114806258046,-6.78024646592057e-05,0.002240686380176493,True
zip,0.49164267603738876,-7.751186558102585e-05,0.00029294692580350556,0.9903173062700151,0.32898753201153197,0.4983804949711743,True
university_quality,0.49294396857887646,6.100991382906873e-05,0.0014234148688081483,0.6960910041234646,0.04527041925144959,0.05235013674464639,True
skills,0.49148239483669587,0.05523425617213229,0.0,0.6611083362740038,0.03784547861483567,0.03266318701926818,True
experience_years,0.5098560617454089,0.033986901843298,0.09430506394069238,0.4977824678013808,-0.00012500210195387496,0.0,False
education_level,0.4977517051241877,-1.830286594872721e-05,0.007583239460925872,0.5564879667411666,0.0006381941147197701,0.015684646851871875,False
screening_score,0.614731204048376,0.1803854815892112,0.023040351787243285,0.6086315787613443,-0.00034797854737811384,0.01890575978751441,True
