dataset,fold,method,ROC-AUC,SPD,DIR,EOD,CF_prob_rate,CF_class_rate
synthetic,0,Unconstrained,0.863171060962856,0.03423208482374612,0.9308942651750881,0.03334224936659014,0.14566666666666667,0.07333333333333333
synthetic,0,CF-augmentation,0.8621972844530134,0.023773120657654245,0.9515444043425955,0.04576790109987522,0.003,0.023
synthetic,1,Unconstrained,0.8689946535061577,0.10101351351351351,0.8124215809284818,0.06823463113055875,0.11333333333333333,0.07066666666666667
synthetic,1,CF-augmentation,0.8697228912820234,0.04180298719772402,0.9185941828254848,0.01522870128614251,0.0,0.014333333333333333
synthetic,2,Unconstrained,0.858308625495994,0.08879231464850679,0.8261048020595726,0.06532822333954502,0.136,0.07133333333333333
synthetic,2,CF-augmentation,0.8574517011329307,0.018659558263518616,0.9611419508326726,0.013588709146670513,0.001,0.02
synthetic,3,Unconstrained,0.8647034829955818,0.09217638691322899,0.8253251566817171,0.08736766559069495,0.14533333333333334,0.07
synthetic,3,CF-augmentation,0.8669862478098668,0.03947368421052633,0.9210526315789473,0.034831494747056824,0.002,0.023666666666666666
synthetic,4,Unconstrained,0.868781644914855,0.1094692228922517,0.7931636793593636,0.08415892672858616,0.159,0.079
synthetic,4,CF-augmentation,0.8693160404538757,0.05618528842871767,0.8861149948830305,0.027399380804953632,0.004,0.025333333333333333
synthetic,5,Unconstrained,0.8643480798220405,0.08172711934017368,0.8446975711771124,0.07904496518487855,0.14933333333333335,0.07266666666666667
synthetic,5,CF-augmentation,0.8648137958704731,0.023690952634096096,0.9521674516110505,0.024417700687552363,0.0003333333333333333,0.021333333333333333
synthetic,6,Unconstrained,0.8638417586794965,0.07168244864704287,0.8611923974543355,0.05920745920745918,0.11866666666666667,0.07533333333333334
synthetic,6,CF-augmentation,0.8628756906519469,0.016052079645781536,0.9676301511142998,0.018528472835564996,0.0006666666666666666,0.028
synthetic,7,Unconstrained,0.8553348951218123,0.07706151832460734,0.8549430243301509,0.07814381149170413,0.167,0.07766666666666666
synthetic,7,CF-augmentation,0.855621727003643,0.01437300819485543,0.9712148733839086,0.005211953335429231,0.001,0.021333333333333333
synthetic,8,Unconstrained,0.8713526235586914,0.06788418835050963,0.8696050419019234,0.029809067079709206,0.11666666666666667,0.06466666666666666
synthetic,8,CF-augmentation,0.8707694524149688,0.01896031429710182,0.961443830144441,0.021971434528773925,0.0006666666666666666,0.021
synthetic,9,Unconstrained,0.8557636874137184,0.10441626017416794,0.799573316948704,0.09437290424739198,0.129,0.06933333333333333
synthetic,9,CF-augmentation,0.8556163326105084,0.04634103401733142,0.9062116473336237,0.030712478266269327,0.0,0.02
synthetic,10,Unconstrained,0.8659490893297456,0.12082373675360691,0.7748214944324497,0.09384038707822151,0.15066666666666667,0.07733333333333334
synthetic,10,CF-augmentation,0.8651876943259386,0.0741944765503989,0.855656224477083,0.06715853956216289,0.002,0.026333333333333334
synthetic,11,Unconstrained,0.8655930466706668,0.09263381894836398,0.8224321040874711,0.07690670793635446,0.14766666666666667,0.07566666666666666
synthetic,11,CF-augmentation,0.8641177297969052,0.041298240576995826,0.9164560558368195,0.009539101417033402,0.0013333333333333333,0.025
synthetic,12,Unconstrained,0.8594259984240792,0.09036401617849682,0.8255119380696545,0.06422681114973078,0.14866666666666667,0.07433333333333333
synthetic,12,CF-augmentation,0.8591756475771553,0.041028490155118,0.9168415837124454,0.0131977100797383,0.0016666666666666668,0.021666666666666667
synthetic,13,Unconstrained,0.8657301483105063,0.04272348551524757,0.9138555026753784,0.05565459076097379,0.14633333333333334,0.06533333333333333
synthetic,13,CF-augmentation,0.8651903114186851,0.01995220645106227,0.9587925858602551,0.058500180689138426,0.0,0.02
synthetic,14,Unconstrained,0.8573850787906608,0.06592073245258279,0.8734897368207815,0.06277308771172724,0.179,0.073
synthetic,14,CF-augmentation,0.8574202174504812,0.01256013955710622,0.974382798584074,0.046729658970748766,0.003,0.02266666666666667
