dataset,fold,model,Accuracy,F1,ROC-AUC,PR-AUC,SPD,DIR,EOD,A_flip_prob_rate,A_flip_class_rate
synthetic,0,LogisticRegression,0.786,0.7753280839895013,0.869290811613333,0.8636189857818257,0.020907797042543363,0.9564166276681012,0.010875061601422709,0.0,0.0035
synthetic,0,XGBoost,0.785,0.7742782152230971,0.8665392236437341,0.8610189794186505,0.017907790292528147,0.9625530290951009,0.0053014658206309295,0.0,0.00125
synthetic,0,XGBoost+RW,0.78575,0.7754781241812942,0.8665119430280632,0.8611046974945392,0.006587014820783332,0.9861117992778642,0.03166313128066678,0.00025,0.01825
synthetic,1,LogisticRegression,0.80475,0.7990738358631335,0.8836291528167485,0.8719843184418101,0.09277927792779278,0.8266953110405381,0.05355287203927331,0.0,0.002
synthetic,1,XGBoost,0.80275,0.7969111969111969,0.881333076044591,0.8684975225611143,0.08476847684768479,0.8403029646447042,0.04892754694634244,0.0,0.0015
synthetic,1,XGBoost+RW,0.80475,0.798970398970399,0.8810963103342725,0.8685411534487766,0.06476647664766472,0.8756182116756779,0.0252077860110555,0.0,0.01
synthetic,2,LogisticRegression,0.78775,0.7775740110034058,0.8708482005198008,0.8662449192348067,0.05982208741188433,0.8809137513800728,0.02830630304128537,0.0,0.00225
synthetic,2,XGBoost,0.783,0.7739583333333333,0.8682191613505211,0.8618874886173977,0.05677157785434722,0.8879155179257955,0.029272749237413548,0.0,0.0
synthetic,2,XGBoost+RW,0.78125,0.7719572582746937,0.8676615167133206,0.8616927282659128,0.0431911389745851,0.9133922985697516,0.011891818428920897,0.0,0.00875
synthetic,3,LogisticRegression,0.79625,0.7897859169460923,0.8823432387840343,0.8761739038017096,0.07764290041860133,0.8522763331476371,0.06442655860115193,0.0,0.005
synthetic,3,XGBoost,0.79175,0.7849212496772527,0.8776996207616005,0.8714474097849078,0.06361334353185871,0.8770723537822163,0.052184762011969754,0.0,0.0035
synthetic,3,XGBoost+RW,0.793,0.7861570247933884,0.8783811586193639,0.8728485343165957,0.0381019440793085,0.9244470998306777,0.03165794262771804,0.0,0.01375
synthetic,4,LogisticRegression,0.7935,0.7858994297563504,0.8800851284084401,0.8721096366850004,0.08511176600589404,0.8375507111248112,0.058741358006768385,0.0,0.00075
synthetic,4,XGBoost,0.793,0.784037558685446,0.8773756212181281,0.8672789114986392,0.07514767632908698,0.8535021975547634,0.0626546525620304,0.0,0.00125
synthetic,4,XGBoost+RW,0.792,0.7836713468538742,0.877152738565782,0.8674957904084502,0.04912944216497944,0.902325410324134,0.027089805754768936,0.0005,0.01625
synthetic,5,LogisticRegression,0.7915,0.7822454308093995,0.876223591926039,0.8730248521185858,0.07436786997968436,0.8547215200693604,0.06716371654821113,0.0,0.01325
synthetic,5,XGBoost,0.792,0.7834461218115565,0.8738987328529443,0.8705709232077686,0.06444131895608685,0.87361310333836,0.07034548691980586,0.0,0.003
synthetic,5,XGBoost+RW,0.79025,0.7808827370070515,0.8739467867814654,0.8708605132670988,0.049857790279731196,0.9001327223098691,0.055624633739538104,0.0,0.00575
synthetic,6,LogisticRegression,0.793,0.7858251422659079,0.8751013324703649,0.8675857143461628,0.03720151332257915,0.9258960809996464,0.013543000959081342,0.0,0.0035
synthetic,6,XGBoost,0.7905,0.7814293166405842,0.8719121283860812,0.8633240869984361,0.03105701561826507,0.9367368911044179,0.003273771489998245,0.0,0.00075
synthetic,6,XGBoost+RW,0.78875,0.7800052069773497,0.8708072634514085,0.8620349613686286,0.011586938542021918,0.976002808578592,0.021744541067777234,0.0,0.0155
synthetic,7,LogisticRegression,0.7855,0.7776049766718507,0.8711497991678379,0.8652163369057682,0.07194378449422478,0.8611202826773249,0.056751285047104916,0.0,0.00175
synthetic,7,XGBoost,0.78325,0.7760268664427796,0.8681177941700606,0.861267880608889,0.07254467885909588,0.8609148269975075,0.04838922523809985,0.0,0.0025
synthetic,7,XGBoost+RW,0.78625,0.7786694279057728,0.8682742250041048,0.8610532338479523,0.04747665626666803,0.9063311260630568,0.02344466653148325,0.0,0.01525
synthetic,8,LogisticRegression,0.7975,0.7897196261682243,0.8817185166051956,0.8718465955194908,0.05236557113828311,0.8967057179071062,0.01647224955495641,0.0,0.0095
synthetic,8,XGBoost,0.79525,0.7866631935399844,0.8788411904161211,0.8686205894229142,0.04766973458652396,0.9049054934918366,0.024141272261573032,0.0,0.0015
synthetic,8,XGBoost+RW,0.79375,0.7855471796204835,0.8775008910300306,0.8670982905970535,0.020764320149610216,0.9575752153574806,0.020744680851063846,0.00025,0.02175
synthetic,9,LogisticRegression,0.79775,0.7899246948844456,0.8814116618811345,0.8714659729419194,0.09570489262231557,0.8185218545557978,0.07066584209441354,0.0,0.004
synthetic,9,XGBoost,0.79425,0.7852856770153926,0.8781083432447909,0.8674498549082643,0.07974949373734347,0.8451241715825504,0.053143681715110275,0.0,0.00125
synthetic,9,XGBoost+RW,0.7985,0.7905405405405406,0.8781639074770434,0.8675249868939823,0.05721143028575715,0.8872598285545374,0.02888064316635744,0.0,0.01225
synthetic,10,LogisticRegression,0.789,0.7819121447028424,0.87350378962791,0.8648485310662093,0.09512774258253737,0.8216124827199807,0.06402187361282952,0.0,0.00425
synthetic,10,XGBoost,0.78725,0.7800465236495219,0.872179303223042,0.8641765119544303,0.09661387505727204,0.8190006727187918,0.07112796441287861,0.0,0.00225
synthetic,10,XGBoost+RW,0.78825,0.7814193548387097,0.8729989730975587,0.8641798119796711,0.0656765956531063,0.8735383128387556,0.04096013449060737,0.0,0.01525
synthetic,11,LogisticRegression,0.79625,0.7911862669741224,0.8818288824633445,0.8739042859788023,0.07443400728864752,0.8595278592306187,0.030354865387767244,0.0,0.00625
synthetic,11,XGBoost,0.7965,0.7894464562855664,0.8779693010481012,0.8677328508655484,0.07485076572800597,0.8562894170063068,0.03236456012314182,0.0,0.003
synthetic,11,XGBoost+RW,0.80075,0.7934698108318217,0.8781052035647006,0.8678705414512083,0.05233455977483542,0.896935599889518,0.010132291363925128,0.001,0.0165
synthetic,12,LogisticRegression,0.7905,0.781201044386423,0.8757571252367737,0.8735837714976862,0.07978291343313137,0.8448322641063567,0.04792547925479254,0.0,0.004
synthetic,12,XGBoost,0.7865,0.7776041666666667,0.8722066458826403,0.8692749747197759,0.06775504959025014,0.867326772418702,0.03787162871628716,0.0,0.00125
synthetic,12,XGBoost+RW,0.78175,0.7728337236533958,0.8719870169916424,0.8693729067742152,0.04524611869509049,0.9095527388709473,0.014152641526415266,0.0,0.0115
synthetic,13,LogisticRegression,0.796,0.786833855799373,0.8819260064634716,0.8726708002224159,0.04500516574549002,0.9094766562569988,0.04439148177360175,0.0,0.0055
synthetic,13,XGBoost,0.79075,0.7809473959696415,0.8779601719587845,0.8678471719886397,0.016377002086065406,0.9659295165605006,0.011237663489560595,0.0,0.00075
synthetic,13,XGBoost+RW,0.7885,0.7780692549842603,0.8771269587643316,0.8666820202658769,0.005274590212132058,0.9888382515449333,0.03258856711108607,0.001,0.01575
synthetic,14,LogisticRegression,0.79575,0.7871841625423287,0.8736516913552066,0.8656331949098466,0.041884011775073615,0.9158523630500787,0.04165168539325842,0.0,0.0
synthetic,14,XGBoost,0.7925,0.7854188210961738,0.8692458482005198,0.8598788556440911,0.04342027137669613,0.9141492156625285,0.045224719101123606,0.0,0.0
synthetic,14,XGBoost+RW,0.79475,0.7878004652364953,0.869824016563147,0.8600643744061028,0.021921387008668802,0.9557356608478803,0.02379775280898877,0.0,0.01525
adult,0,LogisticRegression,0.8511519973479198,0.6746376811594202,0.9074834671993289,0.7770688762589768,0.18582086445687412,0.3051109052388582,0.07893799194532322,0.38339134758826454,0.08884468755179845
adult,0,XGBoost,0.8620918282778054,0.688622754491018,0.9215501232668221,0.8219225353903155,0.17365488938684298,0.3025031197239962,0.06299993936982827,0.006132935521299519,0.017735786507541852
adult,0,XGBoost+RW,0.8602685231228244,0.6741399304213375,0.9167032788768951,0.8091072394541028,0.08258699446350411,0.5991272035522963,0.2037766849099124,0.0014917951268025858,0.008619260732637163
adult,1,LogisticRegression,0.8460135919111553,0.6627949183303086,0.899586544064987,0.7620167282019977,0.1988673383709056,0.26843311258155617,0.1215138050525375,0.40974639482844355,0.09862423338305984
adult,1,XGBoost,0.8655726835736781,0.6949981195938323,0.9191154970008355,0.8164369563406696,0.18448086090531957,0.26584880377795417,0.11438072881734851,0.006132935521299519,0.014254931211669153
adult,1,XGBoost+RW,0.8572849328692193,0.669735327963176,0.9134060493461083,0.8038640014357237,0.08755822424447103,0.5858212239732025,0.16162949921752734,0.0,0.0036466103099618763
adult,2,LogisticRegression,0.8506299734748011,0.6691149467499082,0.9063408180318544,0.7798174937304505,0.17880857107824374,0.31603186469409034,0.1493371323453136,0.40799071618037136,0.09350132625994695
adult,2,XGBoost,0.8630636604774535,0.6873580620741863,0.9235510027817843,0.8258873630891423,0.1715586194705908,0.3015113350125945,0.12103126577638845,0.011936339522546418,0.013262599469496022
adult,2,XGBoost+RW,0.8589190981432361,0.6743207041714504,0.9182082834205578,0.8099180244919626,0.07804219812667157,0.6284273225663061,0.14410196474387782,0.0011604774535809018,0.007128647214854111
adult,3,LogisticRegression,0.8433355437665783,0.6549835706462213,0.9013064342744505,0.7613941851790628,0.17533066374979167,0.3285799651930159,0.07554983440067596,0.3624005305039788,0.08173076923076923
adult,3,XGBoost,0.8582559681697612,0.6822742474916388,0.9158151903733418,0.811343662776121,0.1865506598847551,0.2734249654346363,0.07345338664259152,0.005470822281167109,0.017738726790450927
adult,3,XGBoost+RW,0.8512931034482759,0.6577642121327737,0.9092640512886943,0.7966421808634689,0.08859564896102781,0.5858480983152864,0.20272867025365104,0.000663129973474801,0.007791777188328912
adult,4,LogisticRegression,0.8519562334217506,0.6706012541497602,0.9091602660764309,0.7721812891135499,0.1855652785682666,0.29295051353874885,0.14547301587301592,0.39439655172413796,0.10046419098143236
adult,4,XGBoost,0.8638925729442971,0.6881883782757311,0.9258420707636323,0.8276756223521182,0.17135821792196293,0.29992410663824703,0.124,0.009946949602122016,0.01873342175066313
